Date,"Close Price"
"2018-04-11 00:00:00",6848.28
"2018-04-11 01:00:00",6838.66
"2018-04-11 02:00:00",6840.62
"2018-04-11 03:00:00",6824.56
"2018-04-11 04:00:00",6831.25
"2018-04-11 05:00:00",6839.79
"2018-04-11 06:00:00",6842.95
"2018-04-11 07:00:00",6846.6
"2018-04-11 08:00:00",6859.06
"2018-04-11 09:00:00",6856.93
"2018-04-11 10:00:00",6836.69
"2018-04-11 11:00:00",6859.07
"2018-04-11 12:00:00",6857.35
"2018-04-11 13:00:00",6935.72
"2018-04-11 14:00:00",6934.83
"2018-04-11 15:00:00",6934.8
"2018-04-11 16:00:00",6920.98
"2018-04-11 17:00:00",6898.3
"2018-04-11 18:00:00",6902.76
"2018-04-11 19:00:00",6912.71
"2018-04-11 20:00:00",6889.21
"2018-04-11 21:00:00",6900.52
"2018-04-11 22:00:00",6918.94
"2018-04-11 23:00:00",6938.65
"2018-04-12 00:00:00",6925.34
"2018-04-12 01:00:00",6925.84
"2018-04-12 02:00:00",6938
"2018-04-12 03:00:00",6941.64
"2018-04-12 04:00:00",6959.19
"2018-04-12 05:00:00",6941.89
"2018-04-12 06:00:00",6788.97
"2018-04-12 07:00:00",6828.87
"2018-04-12 08:00:00",6840.78
"2018-04-12 09:00:00",6852.25
"2018-04-12 10:00:00",6938.08
"2018-04-12 11:00:00",7744.46
"2018-04-12 12:00:00",7710.68
"2018-04-12 13:00:00",7693.9
"2018-04-12 14:00:00",7658.72
"2018-04-12 15:00:00",7614.84
"2018-04-12 16:00:00",7588.73
"2018-04-12 17:00:00",7687.3
"2018-04-12 18:00:00",7693.47
"2018-04-12 19:00:00",7685.11
"2018-04-12 20:00:00",7726.86
"2018-04-12 21:00:00",7825.32
"2018-04-12 22:00:00",7847.5
"2018-04-12 23:00:00",7914.54
"2018-04-13 00:00:00",7891.92
"2018-04-13 01:00:00",7780.79
"2018-04-13 02:00:00",7877.58
"2018-04-13 03:00:00",7834.09
"2018-04-13 04:00:00",7827.51
"2018-04-13 05:00:00",7794.57
"2018-04-13 06:00:00",7818.19
"2018-04-13 07:00:00",8136.52
"2018-04-13 08:00:00",8106.98
"2018-04-13 09:00:00",8071.69
"2018-04-13 10:00:00",8078.7
"2018-04-13 11:00:00",8091.12
"2018-04-13 12:00:00",8196.23
"2018-04-13 13:00:00",8094.44
"2018-04-13 14:00:00",8112.37
"2018-04-13 15:00:00",8127.71
"2018-04-13 16:00:00",8130.09
"2018-04-13 17:00:00",8121.7
"2018-04-13 18:00:00",8109.35
"2018-04-13 19:00:00",8099.6
"2018-04-13 20:00:00",7892.59
"2018-04-13 21:00:00",7878.55
"2018-04-13 22:00:00",7885.19
"2018-04-13 23:00:00",7879.91
"2018-04-14 00:00:00",7912.84
"2018-04-14 01:00:00",8039.88
"2018-04-14 02:00:00",8032.9
"2018-04-14 03:00:00",8036.94
"2018-04-14 04:00:00",7977.82
"2018-04-14 05:00:00",7973.18
"2018-04-14 06:00:00",8016.67
"2018-04-14 07:00:00",8122.13
"2018-04-14 08:00:00",8123.81
"2018-04-14 09:00:00",8031.76
"2018-04-14 10:00:00",7957.9
"2018-04-14 11:00:00",7971.88
"2018-04-14 12:00:00",7912.8
"2018-04-14 13:00:00",7967.84
"2018-04-14 14:00:00",7977.68
"2018-04-14 15:00:00",7964.87
"2018-04-14 16:00:00",7991.17
"2018-04-14 17:00:00",7972.92
"2018-04-14 18:00:00",8025.64
"2018-04-14 19:00:00",8023.67
"2018-04-14 20:00:00",8072.47
"2018-04-14 21:00:00",8042.88
"2018-04-14 22:00:00",8056.85
"2018-04-14 23:00:00",7998.87
"2018-04-15 00:00:00",8066.29
"2018-04-15 01:00:00",8109.72
"2018-04-15 02:00:00",8091.68
"2018-04-15 03:00:00",8083.27
"2018-04-15 04:00:00",8105.34
"2018-04-15 05:00:00",8125.97
"2018-04-15 06:00:00",8118.57
